price,room_number,square_footage,floor,elevator,balcony,registered,distance
121000.0,2.0,50.0,1,0,0,0,2.359
121000.0,2.0,50.0,1,0,0,0,2.359
43500.0,1.0,32.0,2,0,0,0,5.923
108000.0,0.5,29.0,10,0,0,1,19.069
45000.0,1.5,40.0,0,0,0,1,9.496
44000.0,0.5,17.0,0,0,0,1,3.227
59900.0,0.5,25.0,7,0,0,1,19.465
103950.0,2.0,45.0,2,0,1,0,2.948
39000.0,0.5,25.0,0,0,1,1,12.954
45000.0,2.0,48.0,0,0,0,1,12.265
105000.0,0.5,30.0,10,1,0,1,19.069
90650.0,2.0,49.0,1,1,1,0,17.44
145000.0,2.0,55.0,2,1,1,0,2.505
56000.0,0.5,18.0,3,0,0,0,19.376
105000.0,0.5,23.0,10,1,1,1,19.069
150000.0,2.5,75.0,2,1,1,0,1.158
48000.0,1.5,32.0,0,0,1,0,11.363
40000.0,1.5,39.0,0,0,0,0,11.104
64200.0,1.5,48.0,5,0,1,1,9.209
52000.0,1.5,41.0,4,0,0,1,10.638
44000.0,0.5,16.0,0,1,0,1,3.227
68500.0,2.0,44.0,5,0,1,1,10.02
69900.0,1.5,34.0,0,0,1,1,1.379
33000.0,1.5,36.0,6,0,1,0,4.904
50000.0,2.0,63.0,0,0,0,1,1.61
63000.0,3.0,72.0,0,0,1,0,0.673
400000.0,3.0,95.0,5,1,1,1,2.732
187000.0,3.0,94.0,4,1,1,1,2.917
50000.0,2.5,40.0,0,0,1,1,4.847
150000.0,2.0,66.0,4,1,1,1,2.917
148000.0,2.0,66.0,4,1,1,0,2.917
73000.0,2.0,55.0,4,0,0,1,9.496
79900.0,2.5,53.0,1,0,1,1,10.236
